Reef,Site,Latitude,Longitude,Coral core Sr/Ca Temporal Resolution,,Coral Core Data Reference,CCI SST,NOAA SST,GCM SST
Browse Island,BRS05,-14.105,123.5356924,Monthly,Coral Core Sr/Ca Proxy,Unpublished Data from Hedi & Jens,Daily 5km resolution,Daily 5km resolution,Daily 30km resolution
Browse Island,BRS07,-14.121,123.5467277,Monthly,Coral Core Sr/Ca Proxy,Unpublished Data from Hedi & Jens,,,
Cocos (Keeling) Islands,DAR Long,-12.0875,96.875,Monthly,Coral Core Sr/Ca Proxy,Hennekam et al. 2018,,,
Cocos (Keeling) Islands,DAR3,-12.095,96.8805,Monthly,Coral Core Sr/Ca Proxy,Hennekam et al. 2018,,,
Ningaloo Reef,Tantabiddi (13TNT),-21.91,113.97,Monthly,Coral Core Sr/Ca Proxy,Clarke et al. 2017,,,
Ningaloo Reef,Tantabiddi (08TNT),-21.91,113.97,Monthly,Coral Core Sr/Ca Proxy,Clarke et al. 2017,,,
Ningaloo Reef,Bundegi (13BND),-21.87,114.156,Monthly,Coral Core Sr/Ca Proxy,Clarke et al. 2017,,,
Ningaloo Reef,Bundegi (08BND),-21.87,114.156,Monthly,Coral Core Sr/Ca Proxy,Clarke et al. 2017,,,
Ningaloo Reef,TNT07C,-21.893,113.963,Annual,Coral Core Sr/Ca Proxy,"Zinke eat al., 2015",,,
Ningaloo Reef,BUN05A,-21.836,114.178,Annual,Coral Core Sr/Ca Proxy,"Zinke eat al., 2015",,,
Houtman Abrolhos,HAB10A,-28.4589,113.749,Annual,Coral Core Sr/Ca Proxy,"Zinke eat al., 2015",,,
Houtman Abrolhos,HAB05B,-28.4609,113.772,Annual,Coral Core Sr/Ca Proxy,"Zinke eat al., 2015",,,
Scott Reef,SCOTT_RPO_1,-14.06,121.78,No Coral Core Data,,,,,
Scott Reef,SCOTT_SL4,-14.02,121.86,,,,,,
Scott Reef,SCOTT_SS3,-13.64,122.03,,,,,,
Scott Reef,SCOTTNR1,-13.99,121.88,,,,,,
Scott Reef,SCOTTSL1,-14.08,121.95,,,,,,
Scott Reef,SCOTTSL2,-14.19,121.8,,,,,,
Scott Reef,SCOTTSL3,-14.07,121.78,,,,,,
Scott Reef,SCOTTSS1,-14.08,121.98,,,,,,
Scott Reef,SCOTTSS2,-13.92,121.92,,,,,,